N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750003903;75056;IMP;DE;CASTEGGIO;Imp. de Casteggio;Impasse de Casteggio;750561597;O;O;1590;"{""coordinates"": [[2.3991181754827773, 48.853615691800364], [2.399071322691728, 48.85363325463026], [2.3986650761032, 48.85426229597667]], ""type"": ""LineString""}";3120;O;750001537;;48.853927525246284, 2.398882389358934
750007219;75056;QU;;FRANCOIS MITTERRAND;Qu. François Mitterrand;Quai François Mitterrand;750563806;O;O;3831;"{""coordinates"": [[2.33957932172109, 48.85901175043371], [2.3379540390015845, 48.85920737202552], [2.3373977657365397, 48.859247426077076], [2.3366527263534524, 48.859305902259635], [2.333331456767864, 48.86007783078985], [2.3307255656878105, 48.86064164837973], [2.330639574335264, 48.86066688884127], [2.330171962714332, 48.86080418429208]], ""type"": ""LineString""}";3132;P;750001537;;48.85978076518019, 2.334853734392455
750003161;75056;IMP;DE LA;LOI;Imp. de la Loi;Impasse de la Loi;750565728;O;N;5667;"{""coordinates"": [[2.400693219303133, 48.854380986641985], [2.400833248091369, 48.85423096606011], [2.4008129046149844, 48.85420927982133], [2.401199172698607, 48.85381861170988]], ""type"": ""LineString""}";3152;I;750001537;;48.85409817019054, 2.400935573924577
750001200;75056;RUE;DU;LOING;R. du Loing;Rue du Loing;750565730;O;O;5669;"{""coordinates"": [[2.3295567405742172, 48.82782439890537], [2.3299670714933995, 48.82719583074255], [2.3302088809596526, 48.82680052400535], [2.330144191403211, 48.82669881084988]], ""type"": ""LineString""}";3153;P;750001537;;48.827263673654876, 2.329912575108627
750001861;75056;AV;DE;BOUFFLERS;Av. de Boufflers;Avenue de Boufflers;750561147;O;O;1153;"{""coordinates"": [[[2.263056813762071, 48.849209658292104], [2.263339766624437, 48.84962962391335], [2.2634296552204876, 48.84983588922196]], [[2.2634864218211277, 48.85006002777528], [2.263751834302779, 48.85082017673927]]], ""type"": ""MultiLineString""}";3170;V;750001537;;48.85000021472482, 2.2634461080094326
750005791;75056;RUE;DE;MARENGO;R. de Marengo;Rue de Marengo;750566053;O;O;5979;"{""coordinates"": [[2.3391234657500597, 48.86147794802556], [2.33946586033361, 48.86213531925618]], ""type"": ""LineString""}";3184;P;750001537;;48.86180663364087, 2.3392946630418345
750001980;75056;RUE;;AMPERE;R. Ampère;Rue Ampère;750560297;O;O;0291;"{""coordinates"": [[[2.3069590099706065, 48.88513487967662], [2.3068368676328608, 48.88512749057116], [2.3066120977397477, 48.88515774665335], [2.3064957390983833, 48.88518811768618]], [[2.306921033876113, 48.88518182083705], [2.306843978910869, 48.88521408348114], [2.3066306229274702, 48.88521769550754], [2.3064957390983833, 48.88518811768618], [2.3035762002350553, 48.8852458970077]], [[2.3031477705030032, 48.88524996037013], [2.301819982726558, 48.88528086936882], [2.2994268175714483, 48.88532237011076], [2.2983878461312743, 48.88537013837917]]], ""type"": ""MultiLineString""}";3213;P;750001537;;48.885259492458566, 2.3028459840345006
750005097;75056;IMP;D';AMSTERDAM;Imp. d'Amsterdam;Impasse d'Amsterdam;750560299;O;O;0295;"{""coordinates"": [[2.3268562791467837, 48.877820040593086], [2.3267448772223713, 48.877787712522185], [2.3262997781372907, 48.87772459321277]], ""type"": ""LineString""}";3214;O;750001537;;48.87776594129101, 2.326579398576516
750002150;75056;ALL;;MARCEL JAMBENOIRE;All. Marcel Jambenoire;Allée Marcel Jambenoire;75056R136;O;O;5934;"{""coordinates"": [[2.3470082020261733, 48.819974307747515], [2.3470957501957628, 48.82014721515047], [2.347251133283337, 48.82086131732802]], ""type"": ""LineString""}";3257;V;750001537;;48.82041130383361, 2.3471479815026295
750002005;75056;RUE;DES;APENNINS;R. des Apennins;Rue des Apennins;750560396;O;O;0373;"{""coordinates"": [[2.321238866043236, 48.889983811544575], [2.323025680638394, 48.89172879870592]], ""type"": ""LineString""}";3275;P;750001537;;48.89085630512525, 2.3221322733408147
