L_LONGMIN;Geometry;display;catégorie;;;
Avenue Lamoricière;"{""coordinates"": [[2.411736541052056, 48.8441460165543], [2.412388760594557, 48.84522534565287], [2.4125287325194096, 48.84543299262162], [2.4124751323031863, 48.846027166811346]], ""type"": ""LineString""}";true;personne;;;
Rue Roquépine;"{""coordinates"": [[2.3208283002593264, 48.873491408406885], [2.320546215393819, 48.873486336114325], [2.3196294416848553, 48.873397436172816], [2.319562100942018, 48.87338727756481], [2.3194948969051628, 48.87337709271563], [2.31792377521877, 48.87323099210029]], ""type"": ""LineString""}";true;personne;;;
Rue Sidi Brahim;"{""coordinates"": [[2.399133096372666, 48.838278912640135], [2.3993832273342903, 48.838426746800124], [2.4006486804077554, 48.839193665829065]], ""type"": ""LineString""}";true;bataille;;;
Avenue de la Porte Brancion;"{""coordinates"": [[[2.300238639491699, 48.82584521966665], [2.30023188789374, 48.82576571984619], [2.3002285786897962, 48.82563271799127], [2.300222788870882, 48.825534336776954], [2.3002845105171694, 48.825430540587334], [2.3002919643391495, 48.8253521671404]], [[2.300238639491699, 48.82584521966665], [2.3004029517382643, 48.82576518276666], [2.300411578179723, 48.825727315326596], [2.300443491345984, 48.82558734246114], [2.3004681391349244, 48.825479219131495], [2.3004897189605966, 48.82538452359227], [2.3005010885519566, 48.82530665870179]], [[2.301004660320116, 48.82732366697949], [2.30031678124376, 48.82597339797073], [2.300238639491699, 48.82584521966665]], [[2.3011134271993705, 48.82755249325851], [2.300984362060483, 48.827442671176144], [2.301004660320116, 48.82732366697949]], [[2.3011134271993705, 48.82755249325851], [2.3010869137741916, 48.827389307771746], [2.301004660320116, 48.82732366697949]], [[2.3012960662438995, 48.82821227480975], [2.3011134271993705, 48.82755249325851]], [[2.3014472203803353, 48.828450818676295], [2.301390009328007, 48.82828806566305], [2.3012960662438995, 48.82821227480975]], [[2.3013135376816365, 48.82848203765172], [2.3012610105607005, 48.82831641594323], [2.3012960662438995, 48.82821227480975]]], ""type"": ""MultiLineString""}";true;personne;;;
Place de la Résistance;"{""coordinates"": [[[2.302015469275761, 48.8619030953053], [2.301877378908341, 48.861935421948864], [2.301742845187986, 48.86194950335152], [2.3016013839475837, 48.86192212003399], [2.301480530030869, 48.861874594435044], [2.3015129039878772, 48.86222222992397]], [[2.3020379690829933, 48.86221986125127], [2.302015469275761, 48.8619030953053]], [[2.3015129039878772, 48.86222222992397], [2.3016387328578696, 48.862109178302916], [2.301863687869432, 48.86202129312241], [2.302015469275761, 48.8619030953053]], [[2.3015129039878772, 48.86222222992397], [2.3017850023087383, 48.86222737915866], [2.3020379690829933, 48.86221986125127]], [[2.3015129039878772, 48.86222222992397], [2.3015166104645917, 48.86240429827874], [2.301654525840672, 48.862477671799894], [2.3019266458605454, 48.862480284659505], [2.3020455022263735, 48.86241963314396], [2.3020379690829933, 48.86221986125127]]], ""type"": ""MultiLineString""}";true;résistant;;;
Rue du Couédic;"{""coordinates"": [[[2.331017440940709, 48.83019759433737], [2.330961985075089, 48.830194325185495], [2.3309168604784674, 48.83016409659615], [2.3309070287494684, 48.83013090863569], [2.3290626545129216, 48.830071119418015], [2.328823442179772, 48.83009673147297]], [[2.3337997380894557, 48.83022882805456], [2.3329045475017756, 48.83020475348821], [2.3327979488680612, 48.830212442091664], [2.3311945376164402, 48.83014730247913], [2.3310835443392226, 48.83013544855369]]], ""type"": ""MultiLineString""}";true;personne;;;
Place Jan Karski;"{""coordinates"": [[[2.3620380653813053, 48.88244603058867], [2.361766242546118, 48.88255742068008], [2.361707503243159, 48.882642678701494]], [[2.3620380653813053, 48.88244603058867], [2.3621873718477104, 48.88271281166581], [2.3618229458645024, 48.88290979226536]]], ""type"": ""MultiLineString""}";true;résistant;;;
Rue Jaïc Domergue;"{""coordinates"": [[2.2864849198914774, 48.88630263457044], [2.286609106459556, 48.88674512705119], [2.286589790567656, 48.886802263504144], [2.2864718823296206, 48.88691770976851]], ""type"": ""LineString""}";true;personne;;;
Rue Lauriston;"{""coordinates"": [[2.2932965273603925, 48.8728026501894], [2.292462526821327, 48.871688849855964], [2.2918690807146738, 48.871108221786876], [2.2905990442688093, 48.86987759097337], [2.290552335455876, 48.8698147196164], [2.290491342933069, 48.86976661177879], [2.2898184991034567, 48.869121261230006], [2.2891485911335274, 48.86847377441866], [2.288390304229744, 48.867742712126905], [2.2876761151450773, 48.867107067000404], [2.287553957370928, 48.866995432184076], [2.286613420564367, 48.866349520018], [2.286512320386135, 48.866260349399944], [2.286250054143491, 48.86607937432966], [2.2861738783565, 48.86599885089213], [2.2860599038030402, 48.865974868903734], [2.285502687274246, 48.86559523754722], [2.2853717941442993, 48.865230614781105]], ""type"": ""LineString""}";true;personne;;;
Place Lise et Artur London;"{""coordinates"": [[2.399097079536373, 48.830979577993055], [2.3987225003605896, 48.83168584828744], [2.398450547053549, 48.831566843564005]], ""type"": ""LineString""}";true;résistant;;;
